time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2021-09-05 18:09:00:4780,-0.247,0.2885,0.8629,0.943
2021-09-05 18:09:00:4880,-0.2612,0.4007,0.5622,0.738
2021-09-05 18:09:00:4950,-0.3212,0.4929,0.1001,0.597
2021-09-05 18:09:00:5040,-0.3792,0.4436,-0.1838,0.612
2021-09-05 18:09:00:5160,-0.3812,0.4792,-0.46,0.766
2021-09-05 18:09:00:5240,-0.323,0.674,-0.5633,0.936
2021-09-05 18:09:00:5360,-0.0859,0.951,-0.7449,1.211
2021-09-05 18:09:00:5440,-0.057,1.0834,-0.8081,1.353
2021-09-05 18:09:00:5560,0.0294,1.169,-0.887,1.468
2021-09-05 18:09:00:5629,0.1416,1.1922,-0.7834,1.434
2021-09-05 18:09:00:5760,0.0465,1.1739,-0.8349,1.441
2021-09-05 18:09:00:5840,-0.0773,0.9364,-0.9005,1.301
2021-09-05 18:09:00:5960,-0.3703,0.5616,-0.9422,1.158
2021-09-05 18:09:00:6050,-0.488,0.4122,-0.9582,1.152
2021-09-05 18:09:00:6140,-0.5521,0.3299,-0.8794,1.089
2021-09-05 18:09:00:6240,-0.6765,0.3452,-0.7991,1.102
2021-09-05 18:09:00:6340,-0.6844,0.3744,-0.6255,1
2021-09-05 18:09:00:6440,-0.556,0.5119,-0.5129,0.913
2021-09-05 18:09:00:6560,-0.4712,0.7354,-0.3569,0.943
2021-09-05 18:09:00:6640,-0.5654,0.724,-0.3747,0.992
2021-09-05 18:09:00:6760,-0.7319,0.579,-0.4345,1.029
2021-09-05 18:09:00:6860,-0.8381,0.3715,-0.3834,0.994
2021-09-05 18:09:00:6949,-0.9315,0.2062,-0.2513,0.987
2021-09-05 18:09:00:7030,-0.8248,0.2617,-0.1655,0.881
2021-09-05 18:09:00:7160,-0.5724,0.3567,-0.2432,0.717
2021-09-05 18:09:00:7250,-0.4667,0.362,-0.3138,0.669
2021-09-05 18:09:00:7350,-0.3488,0.3904,-0.4512,0.691
2021-09-05 18:09:00:7440,-0.0379,0.3896,-0.3056,0.497
2021-09-05 18:09:00:7560,0.2319,0.4784,-0.1324,0.548
2021-09-05 18:09:00:7640,0.2598,0.4766,-0.3548,0.649
2021-09-05 18:09:00:7760,0.1233,0.4084,-1.0969,1.177
2021-09-05 18:09:00:7830,0.0696,0.3092,-1.5955,1.627
2021-09-05 18:09:00:7950,0.0367,0.2079,-1.8389,1.851
2021-09-05 18:09:00:8030,0.051,-0.0238,-1.7573,1.758
2021-09-05 18:09:00:8159,0.2795,-0.5216,-1.1241,1.27
2021-09-05 18:09:00:8250,0.3333,-0.8994,-0.3956,1.038
2021-09-05 18:09:00:8360,0.287,-1.36,0.3343,1.43
2021-09-05 18:09:00:8430,-0.099,-1.5489,0.4645,1.62
2021-09-05 18:09:00:8550,-0.7825,-1.7557,0.1783,1.93
2021-09-05 18:09:00:8640,-1.2618,-1.8544,-0.0841,2.245
2021-09-05 18:09:00:8740,-1.2658,-1.6274,-0.1946,2.071
2021-09-05 18:09:00:8830,-0.9449,-1.2388,0.0512,1.559
2021-09-05 18:09:00:8960,-0.3526,-0.7278,0.6939,1.066
2021-09-05 18:09:00:9040,0.0062,-0.5534,1.0875,1.22
2021-09-05 18:09:00:9160,0.245,-0.5152,1.4726,1.579
2021-09-05 18:09:00:9250,0.268,-0.6238,1.6561,1.79
2021-09-05 18:09:00:9360,0.0247,-0.7114,1.786,1.923
2021-09-05 18:09:00:9440,-0.0172,-0.7071,1.8085,1.942
2021-09-05 18:09:00:9570,0.079,-0.5503,1.8226,1.906
2021-09-05 18:09:00:9650,0.195,-0.2749,1.8422,1.873
2021-09-05 18:09:00:9770,0.3236,0.0814,1.6974,1.73
2021-09-05 18:09:00:9860,0.5519,0.169,1.578,1.68
