time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2021-09-05 18:10:10:0160,0.2588,-2.0411,-1.2174,2.391
2021-09-05 18:10:10:0370,0.2422,-1.9447,-1.3812,2.398
2021-09-05 18:10:10:0380,0.1928,-1.9213,-1.5522,2.477
2021-09-05 18:10:10:0400,0.1391,-1.902,-1.6775,2.54
2021-09-05 18:10:10:0530,0.1059,-1.9199,-1.8483,2.667
2021-09-05 18:10:10:0620,0.1152,-1.8779,-1.9789,2.731
2021-09-05 18:10:10:0730,0.1027,-1.7978,-2.1036,2.769
2021-09-05 18:10:10:0810,0.1471,-1.7908,-2.0169,2.701
2021-09-05 18:10:10:0940,0.198,-1.8,-1.6833,2.472
2021-09-05 18:10:10:1010,0.2677,-1.9212,-1.4041,2.395
2021-09-05 18:10:10:1150,0.369,-2.1027,-1.0751,2.39
2021-09-05 18:10:10:1350,0.4089,-2.1431,-0.899,2.36
2021-09-05 18:10:10:1370,0.5689,-2.0865,-0.7653,2.294
2021-09-05 18:10:10:1409,0.6312,-1.9464,-0.8268,2.207
2021-09-05 18:10:10:1520,0.6931,-1.6959,-0.9544,2.066
2021-09-05 18:10:10:1620,0.6687,-1.5481,-0.9836,1.952
2021-09-05 18:10:10:1729,0.6339,-1.3863,-0.8716,1.756
2021-09-05 18:10:10:1820,0.5569,-1.2916,-0.6733,1.559
2021-09-05 18:10:10:1930,0.4321,-1.2381,-0.4795,1.396
2021-09-05 18:10:10:2010,0.3766,-1.2746,-0.3543,1.376
2021-09-05 18:10:10:2140,0.2971,-1.3326,0.0184,1.365
2021-09-05 18:10:10:2340,0.2587,-1.2345,0.3302,1.304
2021-09-05 18:10:10:2340,0.4184,-1.1764,0.6322,1.399
2021-09-05 18:10:10:2400,0.4876,-1.1131,0.7528,1.43
2021-09-05 18:10:10:2520,0.5987,-1.0363,1.1852,1.684
2021-09-05 18:10:10:2610,0.6696,-0.9573,1.6509,2.022
2021-09-05 18:10:10:2740,0.6104,-1.0474,2.2085,2.519
2021-09-05 18:10:10:2819,0.4305,-1.0407,2.3661,2.62
2021-09-05 18:10:10:2920,0.2194,-0.9674,2.1582,2.375
2021-09-05 18:10:10:3040,-0.0966,-0.8505,1.7496,1.948
2021-09-05 18:10:10:3150,-0.4216,-0.629,1.128,1.359
2021-09-05 18:10:10:3230,-0.6365,-0.3741,0.6148,0.961
2021-09-05 18:10:10:3510,-0.9525,-0.0221,0.123,0.961
2021-09-05 18:10:10:3520,-1.1103,0.2903,-0.1877,1.163
2021-09-05 18:10:10:3530,-1.1518,0.5934,-0.4498,1.372
2021-09-05 18:10:10:3610,-1.0109,0.9292,-0.2978,1.405
2021-09-05 18:10:10:3730,-0.876,1.1791,0.2181,1.485
2021-09-05 18:10:10:3810,-0.754,1.1758,0.8052,1.612
2021-09-05 18:10:10:3930,-0.5608,1.1599,1.4741,1.958
2021-09-05 18:10:10:4010,-0.4812,1.217,1.9592,2.356
2021-09-05 18:10:10:4140,-0.4092,1.3296,2.4284,2.799
2021-09-05 18:10:10:4210,-0.4811,1.3781,2.6195,2.999
2021-09-05 18:10:10:4360,-0.5952,1.461,2.7304,3.153
2021-09-05 18:10:10:4400,-0.7596,1.5101,2.7246,3.206
2021-09-05 18:10:10:4510,-0.9788,1.5852,2.6292,3.222
2021-09-05 18:10:10:4620,-1.2345,1.7214,2.4285,3.223
2021-09-05 18:10:10:4730,-1.5387,1.7809,1.951,3.057
2021-09-05 18:10:10:4820,-1.726,1.8733,1.6235,3.021
2021-09-05 18:10:10:4930,-1.8954,2.024,1.2911,3.059
2021-09-05 18:10:10:5030,-2.0125,2.0811,1.0162,3.068
2021-09-05 18:10:10:5130,-2.1536,2.0825,0.6839,3.073
2021-09-05 18:10:10:5210,-2.2644,2.0364,0.4739,3.082
2021-09-05 18:10:10:5550,-2.3481,2.04,0.2713,3.122
2021-09-05 18:10:10:5560,-2.3609,2.0849,0.1364,3.153
2021-09-05 18:10:10:5560,-2.2734,2.1614,0.0575,3.137
2021-09-05 18:10:10:5649,-2.1892,2.1663,0.0493,3.08
2021-09-05 18:10:10:5719,-2.0853,2.1526,0.0352,2.997
2021-09-05 18:10:10:5820,-1.9896,2.0848,-0.0266,2.882
2021-09-05 18:10:10:5920,-1.8238,2.0951,-0.068,2.779
2021-09-05 18:10:10:6020,-1.7236,2.1172,-0.0306,2.73
2021-09-05 18:10:10:6130,-1.6191,2.0805,0.0303,2.636
2021-09-05 18:10:10:6210,-1.6026,2.0137,0.1121,2.576
2021-09-05 18:10:10:6430,-1.5639,1.8853,0.313,2.469
2021-09-05 18:10:10:6440,-1.6427,1.7457,0.4416,2.437
2021-09-05 18:10:10:6520,-1.7077,1.5243,0.4934,2.342
2021-09-05 18:10:10:6610,-1.679,1.4492,0.5233,2.279
2021-09-05 18:10:10:6740,-1.5753,1.4032,0.6229,2.2
2021-09-05 18:10:10:6810,-1.4416,1.3817,0.7471,2.132
2021-09-05 18:10:10:6919,-1.3031,1.3071,0.9082,2.057
2021-09-05 18:10:10:7020,-1.093,1.2003,1.0872,1.954
2021-09-05 18:10:10:7130,-0.8764,1.1147,1.3362,1.948
2021-09-05 18:10:10:7210,-0.722,0.9771,1.5067,1.935
2021-09-05 18:10:10:7520,-0.6057,0.7557,1.6843,1.943
2021-09-05 18:10:10:7530,-0.6441,0.6059,1.6341,1.858
2021-09-05 18:10:10:7530,-0.7242,0.3736,1.3005,1.535
2021-09-05 18:10:10:7640,-0.6541,0.3151,1.1285,1.342
2021-09-05 18:10:10:7730,-0.4829,0.3774,0.7549,0.972
2021-09-05 18:10:10:7810,-0.2799,0.3348,0.7292,0.85
2021-09-05 18:10:10:7940,0.1003,0.1539,1.2085,1.222
2021-09-05 18:10:10:8020,0.428,-0.113,1.624,1.683
2021-09-05 18:10:10:8120,0.6885,-0.3773,1.9303,2.084
2021-09-05 18:10:10:8210,0.8951,-0.5842,2.0596,2.32
2021-09-05 18:10:10:8440,0.8913,-0.9294,2.1071,2.469
2021-09-05 18:10:10:8440,0.8564,-1.2913,1.8733,2.431
2021-09-05 18:10:10:8530,0.6866,-1.4563,1.3748,2.117
2021-09-05 18:10:10:8640,0.6588,-1.5998,0.693,1.864
2021-09-05 18:10:10:8720,0.6636,-1.6592,-0.1974,1.798
2021-09-05 18:10:10:8820,0.6278,-1.5863,-0.6743,1.834
2021-09-05 18:10:10:8940,0.4994,-1.5773,-1.2082,2.049
2021-09-05 18:10:10:9010,0.3533,-1.6614,-1.5838,2.322
2021-09-05 18:10:10:9140,0.1849,-1.6922,-1.9804,2.611
2021-09-05 18:10:10:9210,0.1808,-1.7037,-2.1531,2.752
2021-09-05 18:10:10:9390,0.2154,-1.6624,-2.3334,2.873
2021-09-05 18:10:10:9400,0.3711,-1.6599,-2.3746,2.921
2021-09-05 18:10:10:9530,0.5547,-1.5779,-2.3871,2.915
2021-09-05 18:10:10:9610,0.7245,-1.5761,-2.2594,2.849
2021-09-05 18:10:10:9730,0.882,-1.5997,-1.9172,2.648
2021-09-05 18:10:10:9810,0.9056,-1.6884,-1.5407,2.459
2021-09-05 18:10:10:9930,0.9234,-1.7615,-0.9362,2.198
2021-09-05 18:10:11:0020,0.8978,-1.8634,-0.5983,2.153
2021-09-05 18:10:11:0130,0.609,-2.1211,-0.0477,2.207
2021-09-05 18:10:11:0220,0.5401,-2.3157,0.3073,2.398
2021-09-05 18:10:11:0400,0.5419,-2.4173,0.794,2.601
2021-09-05 18:10:11:0420,0.5258,-2.432,1.0055,2.684
2021-09-05 18:10:11:0530,0.5202,-2.4896,1.0595,2.755
2021-09-05 18:10:11:0610,0.5405,-2.4939,0.9145,2.711
2021-09-05 18:10:11:0730,0.4827,-2.4468,0.3485,2.518
2021-09-05 18:10:11:0810,0.4563,-2.3969,-0.0912,2.442
2021-09-05 18:10:11:0930,0.4288,-2.2917,-0.4994,2.384
2021-09-05 18:10:11:1010,0.3915,-2.2744,-0.6936,2.41
2021-09-05 18:10:11:1130,0.259,-2.2687,-1.0023,2.494
2021-09-05 18:10:11:1220,0.1337,-2.2755,-1.2285,2.589
2021-09-05 18:10:11:1429,0.098,-2.2438,-1.35,2.621
2021-09-05 18:10:11:1429,0.1767,-2.1847,-1.4217,2.613
2021-09-05 18:10:11:1520,0.3338,-2.0993,-1.565,2.64
2021-09-05 18:10:11:1610,0.537,-1.9898,-1.5232,2.563
2021-09-05 18:10:11:1729,0.5535,-1.9237,-1.5003,2.502
2021-09-05 18:10:11:1810,0.7009,-1.8644,-1.2835,2.369
2021-09-05 18:10:11:1960,0.7891,-1.8473,-0.9742,2.233
2021-09-05 18:10:11:2010,0.8058,-1.7853,-0.7428,2.095
2021-09-05 18:10:11:2150,0.8256,-1.7855,-0.6187,2.062
2021-09-05 18:10:11:2210,0.7937,-1.7328,-0.6322,2.008
2021-09-05 18:10:11:2510,0.7531,-1.6544,-0.7522,1.967
2021-09-05 18:10:11:2520,0.856,-1.6004,-0.9522,2.05
2021-09-05 18:10:11:2520,0.8804,-1.3628,-1.3062,2.083
2021-09-05 18:10:11:2610,0.9672,-1.2654,-1.4546,2.157
2021-09-05 18:10:11:2730,1.0123,-1.2496,-1.4501,2.165
2021-09-05 18:10:11:2819,0.943,-1.2232,-1.417,2.096
2021-09-05 18:10:11:2930,0.7115,-1.1976,-1.2757,1.889
2021-09-05 18:10:11:3020,0.5675,-1.1752,-0.9853,1.635
2021-09-05 18:10:11:3130,0.4923,-1.1327,-0.4287,1.307
2021-09-05 18:10:11:3230,0.3196,-1.0569,-0.0988,1.109
2021-09-05 18:10:11:3430,0.2311,-0.9993,0.2093,1.047
2021-09-05 18:10:11:3430,0.2776,-0.9485,0.4213,1.074
2021-09-05 18:10:11:3530,0.0982,-0.5724,0.5092,0.772
2021-09-05 18:10:11:3620,-0.0186,-0.2907,0.5043,0.582
2021-09-05 18:10:11:3730,0.1998,-0.1166,0.4069,0.468
2021-09-05 18:10:11:3810,0.3276,0.0907,0.6311,0.717
2021-09-05 18:10:11:3940,0.5198,0.3051,1.3292,1.459
2021-09-05 18:10:11:4010,0.5305,0.2492,1.9551,2.041
2021-09-05 18:10:11:4140,0.4261,0.0675,2.7053,2.739
2021-09-05 18:10:11:4210,0.1489,0.0124,2.9094,2.913
2021-09-05 18:10:11:4440,-0.1999,-0.0557,2.9291,2.936
2021-09-05 18:10:11:4450,-0.6903,0.0506,2.4784,2.573
2021-09-05 18:10:11:4540,-1.2249,0.3847,1.4052,1.903
2021-09-05 18:10:11:4610,-1.4504,0.7277,0.7201,1.775
2021-09-05 18:10:11:4720,-1.7122,1.1458,0.2552,2.076
2021-09-05 18:10:11:4810,-1.7508,1.4126,0.2145,2.26
2021-09-05 18:10:11:4930,-1.6075,1.5391,0.2982,2.245
2021-09-05 18:10:11:5010,-1.6276,1.6029,0.643,2.373
2021-09-05 18:10:11:5130,-1.5241,1.4399,1.2287,2.43
2021-09-05 18:10:11:5210,-1.4779,1.3677,1.6358,2.594
2021-09-05 18:10:11:5450,-1.3607,1.448,2.0818,2.878
2021-09-05 18:10:11:5450,-1.2783,1.4666,2.1885,2.928
2021-09-05 18:10:11:5530,-1.1599,1.5705,2.3139,3.027
2021-09-05 18:10:11:5610,-1.1194,1.6169,2.4071,3.108
2021-09-05 18:10:11:5729,-1.2171,1.5932,2.4688,3.18
2021-09-05 18:10:11:5820,-1.3784,1.5093,2.4806,3.214
2021-09-05 18:10:11:5930,-1.6117,1.447,2.3614,3.204
2021-09-05 18:10:11:6010,-1.837,1.4612,2.0657,3.127
2021-09-05 18:10:11:6140,-2.1084,1.5325,1.3923,2.955
2021-09-05 18:10:11:6210,-2.2348,1.5893,0.9925,2.916
2021-09-05 18:10:11:6370,-2.41,1.6782,0.4574,2.972
2021-09-05 18:10:11:6410,-2.4958,1.7407,0.1733,3.048
2021-09-05 18:10:11:6530,-2.5176,1.7709,-0.0265,3.078
2021-09-05 18:10:11:6610,-2.5306,1.7523,-0.1078,3.08
2021-09-05 18:10:11:6730,-2.52,1.7134,-0.1276,3.05
2021-09-05 18:10:11:6820,-2.4484,1.6332,-0.0305,2.943
2021-09-05 18:10:11:6949,-2.2691,1.608,0.0734,2.782
2021-09-05 18:10:11:7020,-2.1526,1.6066,0.1233,2.689
2021-09-05 18:10:11:7140,-1.9407,1.6172,0.3574,2.551
2021-09-05 18:10:11:7210,-1.8159,1.5629,0.5368,2.455
2021-09-05 18:10:11:7490,-1.5992,1.4887,0.7167,2.299
2021-09-05 18:10:11:7500,-1.4639,1.3669,0.8156,2.163
2021-09-05 18:10:11:7530,-1.2651,1.3386,0.9408,2.068
2021-09-05 18:10:11:7600,-1.1059,1.2591,1.054,1.98
2021-09-05 18:10:11:7730,-0.8846,1.1576,1.2746,1.936
2021-09-05 18:10:11:7820,-0.8267,1.0603,1.3364,1.896
2021-09-05 18:10:11:7930,-0.7655,0.926,1.3491,1.807
2021-09-05 18:10:11:8010,-0.721,0.8268,1.3244,1.72
2021-09-05 18:10:11:8179,-0.7101,0.6577,1.3031,1.623
2021-09-05 18:10:11:8400,-0.6762,0.55,1.2472,1.522
2021-09-05 18:10:11:8400,-0.6607,0.3843,0.968,1.233
2021-09-05 18:10:11:8410,-0.6424,0.3243,0.6887,0.996
2021-09-05 18:10:11:8520,-0.6493,0.2354,0.2082,0.721
2021-09-05 18:10:11:8610,-0.6164,0.1629,-0.0501,0.64
2021-09-05 18:10:11:8720,-0.5464,0.1684,-0.3925,0.693
2021-09-05 18:10:11:8810,-0.5323,0.152,-0.56,0.787
2021-09-05 18:10:11:8930,-0.4733,0.1272,-0.7278,0.877
2021-09-05 18:10:11:9040,-0.4512,-0.0395,-0.7443,0.871
2021-09-05 18:10:11:9130,-0.4521,-0.195,-0.4517,0.668
2021-09-05 18:10:11:9210,-0.3626,-0.3349,-0.2278,0.544
2021-09-05 18:10:11:9330,-0.2436,-0.4864,0.1367,0.561
2021-09-05 18:10:11:9460,-0.1285,-0.6538,0.4245,0.79
2021-09-05 18:10:11:9530,0.0656,-0.9085,0.7821,1.201
2021-09-05 18:10:11:9610,0.2118,-1.0188,0.9698,1.422
2021-09-05 18:10:11:9730,0.3348,-1.1575,0.9943,1.562
2021-09-05 18:10:11:9810,0.4594,-1.2326,0.7402,1.509
2021-09-05 18:10:11:9930,0.4839,-1.276,0.0228,1.365
2021-09-05 18:10:12:0020,0.4479,-1.3068,-0.5029,1.47
2021-09-05 18:10:12:0170,0.416,-1.3845,-0.9284,1.718
2021-09-05 18:10:12:0380,0.2694,-1.4493,-1.2442,1.929
2021-09-05 18:10:12:0390,0.0765,-1.5445,-1.5015,2.155
2021-09-05 18:10:12:0410,0.003,-1.5804,-1.5989,2.248
2021-09-05 18:10:12:0530,0.0258,-1.5535,-1.6407,2.26
2021-09-05 18:10:12:0610,0.1595,-1.5708,-1.5575,2.218
2021-09-05 18:10:12:0730,0.3064,-1.5564,-1.345,2.08
2021-09-05 18:10:12:0810,0.4026,-1.5844,-1.1188,1.981
2021-09-05 18:10:12:0930,0.5537,-1.6066,-0.8418,1.896
2021-09-05 18:10:12:1010,0.6503,-1.6134,-0.6881,1.871
2021-09-05 18:10:12:1170,0.6944,-1.5996,-0.4848,1.81
2021-09-05 18:10:12:1370,0.7034,-1.6126,-0.1243,1.764
2021-09-05 18:10:12:1370,0.7224,-1.6684,0.4685,1.878
2021-09-05 18:10:12:1400,0.6847,-1.7492,0.9685,2.113
2021-09-05 18:10:12:1520,0.6779,-1.9867,1.5501,2.609
2021-09-05 18:10:12:1610,0.7393,-2.1517,2.1194,3.109
2021-09-05 18:10:12:1750,0.7262,-2.3722,2.4462,3.484
2021-09-05 18:10:12:1830,0.697,-2.4557,2.3005,3.436
2021-09-05 18:10:12:1930,0.6215,-2.4233,1.4627,2.898
2021-09-05 18:10:12:2010,0.6106,-2.2775,0.772,2.481
2021-09-05 18:10:12:2160,0.5421,-1.9884,-0.1255,2.065
2021-09-05 18:10:12:2360,0.5184,-1.884,-0.7757,2.102
2021-09-05 18:10:12:2370,0.4109,-1.8175,-1.3195,2.283
2021-09-05 18:10:12:2400,0.3668,-1.7318,-1.5217,2.334
2021-09-05 18:10:12:2530,0.3685,-1.7679,-1.6523,2.448
2021-09-05 18:10:12:2610,0.397,-1.8263,-1.7077,2.532
2021-09-05 18:10:12:2720,0.3995,-1.9538,-1.7977,2.685
2021-09-05 18:10:12:2810,0.4767,-1.9693,-1.7698,2.69
2021-09-05 18:10:12:2940,0.6019,-1.9535,-1.7067,2.663
2021-09-05 18:10:12:3010,0.7322,-1.9902,-1.6453,2.684
2021-09-05 18:10:12:3160,0.8271,-2.0311,-1.5666,2.695
2021-09-05 18:10:12:3420,0.8648,-2.0142,-1.4873,2.649
2021-09-05 18:10:12:3430,0.9251,-1.9881,-1.3541,2.577
2021-09-05 18:10:12:3430,0.8894,-1.9027,-1.1931,2.416
2021-09-05 18:10:12:3530,0.869,-1.8941,-0.8938,2.268
2021-09-05 18:10:12:3610,0.7592,-1.8768,-0.7815,2.17
2021-09-05 18:10:12:3730,0.7055,-1.8608,-0.5522,2.065
2021-09-05 18:10:12:3820,0.6279,-1.8275,-0.3157,1.958
2021-09-05 18:10:12:3930,0.7526,-1.8284,-0.1197,1.981
2021-09-05 18:10:12:4010,0.8217,-1.7707,-0.1205,1.956
2021-09-05 18:10:12:4160,0.7974,-1.5301,-0.3863,1.768
2021-09-05 18:10:12:4390,0.8471,-1.2969,-0.4884,1.624
2021-09-05 18:10:12:4390,1.3483,-1.0321,-0.2066,1.71
2021-09-05 18:10:12:4420,1.6437,-0.8513,0.1644,1.858
2021-09-05 18:10:12:4520,1.8502,-0.7515,0.5124,2.062
2021-09-05 18:10:12:4610,1.8936,-0.7882,0.5808,2.132
2021-09-05 18:10:12:4720,1.8092,-0.7881,0.5712,2.054
2021-09-05 18:10:12:4810,1.6091,-0.7887,0.6032,1.891
2021-09-05 18:10:12:4930,1.3384,-0.7424,1.0011,1.829
2021-09-05 18:10:12:5010,1.1189,-0.7737,1.4944,2.021
2021-09-05 18:10:12:5160,0.7737,-0.85,1.9265,2.243
2021-09-05 18:10:12:5230,0.4418,-0.7487,2.0789,2.253
2021-09-05 18:10:12:5470,0.1075,-0.4668,1.8808,1.941
2021-09-05 18:10:12:5480,-0.1953,-0.1335,1.3781,1.398
2021-09-05 18:10:12:5540,-0.7256,0.1991,0.5442,0.929
2021-09-05 18:10:12:5620,-1.0004,0.4319,0.1445,1.099
2021-09-05 18:10:12:5719,-1.0704,0.8536,0.006,1.369
2021-09-05 18:10:12:5810,-1.2076,1.1869,0.047,1.694
2021-09-05 18:10:12:5930,-1.305,1.3544,0.258,1.898
2021-09-05 18:10:12:6010,-1.4559,1.3559,0.4838,2.047
2021-09-05 18:10:12:6120,-1.5286,1.3404,0.9432,2.241
2021-09-05 18:10:12:6250,-1.5852,1.3541,1.356,2.487
2021-09-05 18:10:12:6480,-1.5645,1.451,1.7506,2.76
2021-09-05 18:10:12:6490,-1.5651,1.5575,2.0121,2.987
2021-09-05 18:10:12:6550,-1.5784,1.703,2.2279,3.218
2021-09-05 18:10:12:6620,-1.7459,1.8381,2.2533,3.392
2021-09-05 18:10:12:6740,-2.0348,1.9141,2.1565,3.529
2021-09-05 18:10:12:6820,-2.3648,1.8687,1.8978,3.562
2021-09-05 18:10:12:6929,-2.735,1.9801,1.6854,3.774
2021-09-05 18:10:12:7010,-2.9149,2.1176,1.5027,3.904
2021-09-05 18:10:12:7130,-3.1644,2.2624,1.1596,4.059
2021-09-05 18:10:12:7250,-3.3677,2.3186,0.9343,4.194
2021-09-05 18:10:12:7510,-3.6106,2.3666,0.739,4.38
2021-09-05 18:10:12:7520,-3.6786,2.4253,0.6709,4.457
2021-09-05 18:10:12:7540,-3.7979,2.5382,0.5205,4.598
2021-09-05 18:10:12:7610,-3.7326,2.5611,0.3605,4.541
2021-09-05 18:10:12:7730,-3.6517,2.6672,0.1891,4.526
2021-09-05 18:10:12:7820,-3.5304,2.6796,0.1112,4.434
2021-09-05 18:10:12:7930,-3.2914,2.604,0.0826,4.198
2021-09-05 18:10:12:8010,-3.0903,2.6002,0.2362,4.046
2021-09-05 18:10:12:8129,-2.8555,2.5834,0.4945,3.882
2021-09-05 18:10:12:8240,-2.7226,2.4719,0.625,3.73
2021-09-05 18:10:12:8500,-2.5333,2.2053,0.7612,3.444
2021-09-05 18:10:12:8510,-2.3572,2.1668,0.8938,3.324
2021-09-05 18:10:12:8530,-2.1007,1.9891,1.2339,3.145
2021-09-05 18:10:12:8610,-1.9415,1.8613,1.5949,3.127
2021-09-05 18:10:12:8730,-1.6227,1.5474,2.1073,3.077
2021-09-05 18:10:12:8810,-1.4559,1.3692,2.3029,3.049
2021-09-05 18:10:12:8930,-1.2266,1.0817,2.1737,2.72
2021-09-05 18:10:12:9010,-1.0755,0.9317,1.9222,2.392
2021-09-05 18:10:12:9130,-0.8651,0.8275,1.3241,1.785
2021-09-05 18:10:12:9240,-0.6943,0.7323,1.032,1.443
2021-09-05 18:10:12:9460,-0.522,0.5513,0.9647,1.228
2021-09-05 18:10:12:9460,-0.4271,0.3797,0.985,1.139
2021-09-05 18:10:12:9520,-0.3146,-0.0109,0.9054,0.959
2021-09-05 18:10:12:9620,-0.2162,-0.2262,1.0095,1.057
2021-09-05 18:10:12:9720,-0.0198,-0.3649,1.2917,1.342
2021-09-05 18:10:12:9810,0.154,-0.4427,1.1059,1.201
2021-09-05 18:10:12:9920,0.2614,-0.5427,0.69,0.916
2021-09-05 18:10:13:0010,0.289,-0.6085,0.2926,0.734
2021-09-05 18:10:13:0130,0.2529,-0.677,0.1385,0.736
2021-09-05 18:10:13:0230,0.45,-0.8184,0.2232,0.96
2021-09-05 18:10:13:0440,0.7173,-0.9151,0.5058,1.268
2021-09-05 18:10:13:0450,0.8432,-1.0733,0.8908,1.63
2021-09-05 18:10:13:0530,1.0302,-1.4151,1.3067,2.184
2021-09-05 18:10:13:0610,1.0817,-1.62,1.4886,2.452
2021-09-05 18:10:13:0740,1.1158,-1.8645,1.429,2.601
2021-09-05 18:10:13:0810,1.0431,-2.0171,1.137,2.54
2021-09-05 18:10:13:0910,1.0151,-2.1288,0.6766,2.454
2021-09-05 18:10:13:1010,1.0869,-2.1414,0.3484,2.427
2021-09-05 18:10:13:1120,1.0746,-2.1771,-0.0444,2.428
2021-09-05 18:10:13:1230,1.0058,-2.3014,-0.5253,2.566
2021-09-05 18:10:13:1440,0.8325,-2.4456,-1.1456,2.826
2021-09-05 18:10:13:1450,0.795,-2.5018,-1.5187,3.033
2021-09-05 18:10:13:1550,0.7362,-2.4022,-1.8891,3.143
2021-09-05 18:10:13:1600,0.814,-2.3545,-2.0385,3.219
2021-09-05 18:10:13:1719,0.6316,-2.2955,-2.2208,3.256
2021-09-05 18:10:13:1810,0.7449,-2.3844,-2.1992,3.328
2021-09-05 18:10:13:1930,0.8689,-2.3348,-1.7936,3.07
2021-09-05 18:10:13:2020,0.9844,-2.3644,-1.4228,2.93
2021-09-05 18:10:13:2120,1.1242,-2.426,-0.9827,2.849
2021-09-05 18:10:13:2210,1.1866,-2.4923,-0.7681,2.865
2021-09-05 18:10:13:2350,1.219,-2.5681,-0.5907,2.903
2021-09-05 18:10:13:2410,1.2763,-2.6364,-0.4618,2.965
2021-09-05 18:10:13:2530,1.278,-2.7239,-0.3733,3.032
2021-09-05 18:10:13:2620,1.2261,-2.7491,-0.3544,3.031
2021-09-05 18:10:13:2720,1.16,-2.7566,-0.2968,3.005
2021-09-05 18:10:13:2810,1.0735,-2.7732,-0.2154,2.981
2021-09-05 18:10:13:2930,0.9017,-2.7936,-0.0987,2.937
2021-09-05 18:10:13:3010,0.7689,-2.8667,-0.1665,2.973
2021-09-05 18:10:13:3140,0.5899,-2.961,-0.1743,3.024
2021-09-05 18:10:13:3210,0.4879,-2.9337,-0.1911,2.98
2021-09-05 18:10:13:3410,0.4072,-2.901,-0.2303,2.938
2021-09-05 18:10:13:3410,0.4078,-2.8511,-0.3745,2.904
2021-09-05 18:10:13:3520,0.4551,-2.6955,-0.5435,2.787
2021-09-05 18:10:13:3610,0.4987,-2.6455,-0.7825,2.804
2021-09-05 18:10:13:3730,0.4529,-2.5437,-1.1441,2.826
2021-09-05 18:10:13:3810,0.4621,-2.4568,-1.3347,2.834
2021-09-05 18:10:13:3920,0.4454,-2.3235,-1.6286,2.872
2021-09-05 18:10:13:4020,0.3965,-2.2379,-1.7678,2.879
2021-09-05 18:10:13:4120,0.3866,-2.1741,-1.7861,2.84
2021-09-05 18:10:13:4210,0.4114,-2.3176,-1.6621,2.881
2021-09-05 18:10:13:4330,0.5534,-2.4205,-1.2734,2.79
2021-09-05 18:10:13:4410,0.6306,-2.4439,-0.9446,2.695
2021-09-05 18:10:13:4580,0.7962,-2.4424,-0.1824,2.575
2021-09-05 18:10:13:4610,0.8546,-2.3233,0.3579,2.501
2021-09-05 18:10:13:4730,0.8814,-2.0229,0.7593,2.334
2021-09-05 18:10:13:4810,0.8442,-1.7774,0.7215,2.096
2021-09-05 18:10:13:4930,0.7182,-1.4265,0.4765,1.667
2021-09-05 18:10:13:5010,0.5903,-1.1269,0.2623,1.299
2021-09-05 18:10:13:5130,0.3743,-0.7752,-0.0131,0.861
2021-09-05 18:10:13:5210,0.299,-0.6081,-0.2547,0.724
2021-09-05 18:10:13:5340,0.2408,-0.5212,-0.261,0.631
2021-09-05 18:10:13:5500,0.1399,-0.3611,-0.191,0.432
2021-09-05 18:10:13:5530,0.3137,-0.3089,0.4797,0.651
2021-09-05 18:10:13:5600,0.2927,-0.2343,0.7845,0.869
2021-09-05 18:10:13:5719,0.2453,-0.2013,1.0234,1.071
2021-09-05 18:10:13:5810,0.3133,-0.1108,1.3716,1.411
2021-09-05 18:10:13:5920,0.3607,-0.025,1.9257,1.959
2021-09-05 18:10:13:6020,0.4306,0.0588,2.4526,2.491
2021-09-05 18:10:13:6130,0.4261,0.0418,2.9161,2.947
2021-09-05 18:10:13:6210,0.3439,0.057,2.931,2.952
2021-09-05 18:10:13:6340,0.1109,0.1454,2.5707,2.577
2021-09-05 18:10:13:6410,-0.0201,0.3571,2.0865,2.117
2021-09-05 18:10:13:6520,-0.1525,0.7538,1.4692,1.658
2021-09-05 18:10:13:6630,-0.2114,1.0083,1.2848,1.647
2021-09-05 18:10:13:6730,-0.3116,1.2268,1.2452,1.776
2021-09-05 18:10:13:6810,-0.445,1.2465,1.2812,1.842
2021-09-05 18:10:13:6919,-0.6286,1.183,1.3205,1.881
2021-09-05 18:10:13:7020,-0.8366,1.1772,1.321,1.957
2021-09-05 18:10:13:7130,-1.0196,1.2627,1.4277,2.162
2021-09-05 18:10:13:7210,-1.1167,1.4668,1.5395,2.402
2021-09-05 18:10:13:7320,-1.3818,1.716,1.4415,2.633
2021-09-05 18:10:13:7500,-1.6316,1.7761,1.237,2.711
2021-09-05 18:10:13:7520,-1.9413,1.9099,0.8785,2.862
2021-09-05 18:10:13:7620,-2.11,2.0386,0.6676,3.009
2021-09-05 18:10:13:7730,-2.2773,2.2667,0.3744,3.235
2021-09-05 18:10:13:7810,-2.334,2.395,0.2602,3.354
2021-09-05 18:10:13:7950,-2.5136,2.5734,0.0334,3.597
2021-09-05 18:10:13:8010,-2.5849,2.5909,-0.1262,3.662
2021-09-05 18:10:13:8120,-2.7554,2.6416,-0.2372,3.824
2021-09-05 18:10:13:8210,-2.8136,2.6849,-0.175,3.893
2021-09-05 18:10:13:8330,-2.9226,2.7162,-0.021,3.99
2021-09-05 18:10:13:8500,-2.9838,2.6989,0.0692,4.024
2021-09-05 18:10:13:8530,-2.9694,2.6865,0.0666,4.005
2021-09-05 18:10:13:8610,-3.13,2.7256,0.0883,4.151
